ottol_name.id,ottol_name.uid,ottol_name.parent_uid,ottol_name.accepted_uid,ottol_name.preottol_taxid,ottol_name.preottol_parent_taxid,ottol_name.preottol_source,ottol_name.preottol_source_taxid,ottol_name.ncbi_taxid,ottol_name.gbif_taxid,ottol_name.namebank_taxid,ottol_name.treebase_taxid,ottol_name.name,ottol_name.unique_name,ottol_name.rank,ottol_name.comments,ottol_name.mtime
1706569,<NULL>,<NULL>,<NULL>,102039293,101419726,NCBI,282763,<NULL>,<NULL>,<NULL>,<NULL>,Achillea roseoalba,Achillea roseoalba,species,<NULL>,2012-10-22 18:13:12
1709885,<NULL>,<NULL>,<NULL>,101611473,101342174,NCBI,196163,<NULL>,<NULL>,<NULL>,<NULL>,Mikrocytos roughleyi,Mikrocytos roughleyi,species,<NULL>,2012-10-22 18:13:12
1713178,<NULL>,<NULL>,<NULL>,100207934,100506858,U4,16403,<NULL>,<NULL>,<NULL>,<NULL>,Vossia,Vossia (genus; in family Tilletiaceae),genus,<NULL>,2012-10-22 13:35:15
1720804,<NULL>,<NULL>,<NULL>,101791384,101791385,U4,87-326,<NULL>,<NULL>,<NULL>,<NULL>,Prochlorococcus marinus,Prochlorococcus marinus,species,<NULL>,2012-10-22 18:13:12
1722482,<NULL>,<NULL>,<NULL>,100946988,100371554,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Metalasia alfredii,Metalasia alfredii,species,<NULL>,2012-10-22 18:13:12
1722684,<NULL>,<NULL>,<NULL>,101237945,100371554,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Metalasia humilis,Metalasia humilis,species,<NULL>,2012-10-22 18:13:12
1723693,<NULL>,<NULL>,<NULL>,100660208,100660209,U4,9-28845,350847,<NULL>,<NULL>,<NULL>,Aurigamonas solis,Aurigamonas solis,species,<NULL>,2012-11-16 11:38:35
1725507,<NULL>,<NULL>,<NULL>,100104012,100314020,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Augeneriella lagunari,Augeneriella lagunari,species,<NULL>,2012-10-22 18:13:12
1727664,<NULL>,<NULL>,<NULL>,101331140,101014510,U4,3-23412,<NULL>,<NULL>,<NULL>,<NULL>,Anadelphia,Anadelphia,genus,<NULL>,2012-10-22 18:13:12
1727848,<NULL>,<NULL>,<NULL>,100652901,101014510,U4,3-24308,<NULL>,<NULL>,<NULL>,<NULL>,Linkagrostis,Linkagrostis,genus,<NULL>,2012-10-22 18:13:12
1727850,<NULL>,<NULL>,<NULL>,100652903,101014510,U4,3-24305,<NULL>,<NULL>,<NULL>,<NULL>,Limnopoa,Limnopoa,genus,<NULL>,2012-10-22 18:13:12
1727930,<NULL>,<NULL>,<NULL>,100396191,100396190,U4,369342,<NULL>,<NULL>,<NULL>,<NULL>,Eremiomyces echinulatus,Eremiomyces echinulatus,species,<NULL>,2012-10-22 18:13:12
